Pid      Process              Base       InLoad InInit InMem MappedPath
-------- -------------------- ---------- ------ ------ ----- ----------
       4 System               0x76f20000 False  False  False \Windows\System32\ntdll.dll
     280 smss.exe             0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     280 smss.exe             0x47fb0000 True   False  True  \Windows\System32\smss.exe
     368 csrss.exe            0x750d0000 True   True   True  \Windows\System32\csrsrv.dll
     368 csrss.exe            0x00130000 False  False  False \Windows\Fonts\vgasys.fon
     368 csrss.exe            0x76ad0000 True   True   True  \Windows\System32\user32.dll
     368 csrss.exe            0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     368 csrss.exe            0x499f0000 True   False  True  \Windows\System32\csrss.exe
     368 csrss.exe            0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     368 csrss.exe            0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     368 csrss.exe            0x77060000 True   True   True  \Windows\System32\lpk.dll
     368 csrss.exe            0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     368 csrss.exe            0x75080000 True   True   True  \Windows\System32\sxssrv.dll
     368 csrss.exe            0x01a90000 False  False  False \Windows\Fonts\dosapp.fon
     368 csrss.exe            0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     368 csrss.exe            0x01ab0000 False  False  False \Windows\Fonts\cga80woa.fon
     368 csrss.exe            0x750c0000 True   True   True  \Windows\System32\basesrv.dll
     368 csrss.exe            0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     368 csrss.exe            0x74fd0000 True   True   True  \Windows\System32\sxs.dll
     368 csrss.exe            0x76a30000 True   True   True  \Windows\System32\usp10.dll
     368 csrss.exe            0x76470000 True   True   True  \Windows\System32\kernel32.dll
     368 csrss.exe            0x01a80000 False  False  False \Windows\Fonts\vgaoem.fon
     368 csrss.exe            0x75090000 True   True   True  \Windows\System32\winsrv.dll
     368 csrss.exe            0x01aa0000 False  False  False \Windows\Fonts\cga40woa.fon
     368 csrss.exe            0x01ac0000 False  False  False \Windows\Fonts\ega40woa.fon
     420 wininit.exe          0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     420 wininit.exe          0x006a0000 True   False  True  \Windows\System32\wininit.exe
     420 wininit.exe          0x76340000 True   True   True  \Windows\System32\sechost.dll
     420 wininit.exe          0x74f30000 True   True   True  \Windows\System32\secur32.dll
     420 wininit.exe          0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     420 wininit.exe          0x76a30000 True   True   True  \Windows\System32\usp10.dll
     420 wininit.exe          0x75370000 True   True   True  \Windows\System32\msctf.dll
     420 wininit.exe          0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     420 wininit.exe          0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     420 wininit.exe          0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     420 wininit.exe          0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     420 wininit.exe          0x76460000 True   True   True  \Windows\System32\nsi.dll
     420 wininit.exe          0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     420 wininit.exe          0x74ab0000 True   True   True  \Windows\System32\mswsock.dll
     420 wininit.exe          0x76ad0000 True   True   True  \Windows\System32\user32.dll
     420 wininit.exe          0x77060000 True   True   True  \Windows\System32\lpk.dll
     420 wininit.exe          0x74540000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     420 wininit.exe          0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     420 wininit.exe          0x74f70000 True   True   True  \Windows\System32\apphelp.dll
     420 wininit.exe          0x74790000 True   True   True  \Windows\System32\credssp.dll
     420 wininit.exe          0x76da0000 True   True   True  \Windows\System32\imm32.dll
     420 wininit.exe          0x75070000 True   True   True  \Windows\System32\profapi.dll
     420 wininit.exe          0x76470000 True   True   True  \Windows\System32\kernel32.dll
     420 wininit.exe          0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     420 wininit.exe          0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     420 wininit.exe          0x74aa0000 True   True   True  \Windows\System32\wship6.dll
     428 csrss.exe            0x001e0000 False  False  False \Windows\Fonts\vgasys.fon
     428 csrss.exe            0x010f0000 False  False  False \Windows\Fonts\sserife.fon
     428 csrss.exe            0x76a30000 True   True   True  \Windows\System32\usp10.dll
     428 csrss.exe            0x09ca0000 False  False  False \Windows\Fonts\dosapp.fon
     428 csrss.exe            0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     428 csrss.exe            0x499f0000 True   False  True  \Windows\System32\csrss.exe
     428 csrss.exe            0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     428 csrss.exe            0x77060000 True   True   True  \Windows\System32\lpk.dll
     428 csrss.exe            0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     428 csrss.exe            0x75080000 True   True   True  \Windows\System32\sxssrv.dll
     428 csrss.exe            0x01e90000 False  False  False \Windows\Fonts\vgaoem.fon
     428 csrss.exe            0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     428 csrss.exe            0x09cc0000 False  False  False \Windows\Fonts\cga80woa.fon
     428 csrss.exe            0x76ad0000 True   True   True  \Windows\System32\user32.dll
     428 csrss.exe            0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     428 csrss.exe            0x750c0000 True   True   True  \Windows\System32\basesrv.dll
     428 csrss.exe            0x750d0000 True   True   True  \Windows\System32\csrsrv.dll
     428 csrss.exe            0x76470000 True   True   True  \Windows\System32\kernel32.dll
     428 csrss.exe            0x75090000 True   True   True  \Windows\System32\winsrv.dll
     428 csrss.exe            0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     428 csrss.exe            0x09cb0000 False  False  False \Windows\Fonts\cga40woa.fon
     428 csrss.exe            0x09cd0000 False  False  False \Windows\Fonts\ega40woa.fon
     428 csrss.exe            0x74fd0000 True   True   True  \Windows\System32\sxs.dll
     484 winlogon.exe         0x731a0000 True   True   True  \Windows\System32\UXInit.dll
     484 winlogon.exe         0x00420000 True   False  True  \Windows\System32\winlogon.exe
     484 winlogon.exe         0x76340000 True   True   True  \Windows\System32\sechost.dll
     484 winlogon.exe         0x73dc0000 True   True   True  \Windows\System32\uxtheme.dll
     484 winlogon.exe         0x73760000 True   True   True  \Windows\System32\wkscli.dll
     484 winlogon.exe         0x76dc0000 True   True   True  \Windows\System32\ole32.dll
     484 winlogon.exe         0x74bc0000 True   True   True  \Windows\System32\netjoin.dll
     484 winlogon.exe         0x75370000 True   True   True  \Windows\System32\msctf.dll
     484 winlogon.exe         0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     484 winlogon.exe         0x76a30000 True   True   True  \Windows\System32\usp10.dll
     484 winlogon.exe         0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     484 winlogon.exe         0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     484 winlogon.exe         0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     484 winlogon.exe         0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     484 winlogon.exe         0x76ad0000 True   True   True  \Windows\System32\user32.dll
     484 winlogon.exe         0x77060000 True   True   True  \Windows\System32\lpk.dll
     484 winlogon.exe         0x732f0000 True   True   True  \Windows\System32\slc.dll
     484 winlogon.exe         0x74f70000 True   True   True  \Windows\System32\apphelp.dll
     484 winlogon.exe         0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     484 winlogon.exe         0x73770000 True   True   True  \Windows\System32\netutils.dll
     484 winlogon.exe         0x76da0000 True   True   True  \Windows\System32\imm32.dll
     484 winlogon.exe         0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     484 winlogon.exe         0x75070000 True   True   True  \Windows\System32\profapi.dll
     484 winlogon.exe         0x75030000 True   True   True  \Windows\System32\winsta.dll
     484 winlogon.exe         0x74660000 True   True   True  \Windows\System32\mpr.dll
     484 winlogon.exe         0x76470000 True   True   True  \Windows\System32\kernel32.dll
     484 winlogon.exe         0x74af0000 True   True   True  \Windows\System32\cryptsp.dll
     484 winlogon.exe         0x74890000 True   True   True  \Windows\System32\rsaenh.dll
     484 winlogon.exe         0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     484 winlogon.exe         0x738b0000 True   True   True  \Windows\System32\WindowsCodecs.dll
     484 winlogon.exe         0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     516 services.exe         0x74570000 True   True   True  \Windows\System32\wtsapi32.dll
     516 services.exe         0x009c0000 True   False  True  \Windows\System32\services.exe
     516 services.exe         0x74f40000 True   True   True  \Windows\System32\scext.dll
     516 services.exe         0x74f30000 True   True   True  \Windows\System32\secur32.dll
     516 services.exe         0x74760000 True   True   True  \Windows\System32\ubpm.dll
     516 services.exe         0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     516 services.exe         0x76a30000 True   True   True  \Windows\System32\usp10.dll
     516 services.exe         0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     516 services.exe         0x74540000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     516 services.exe         0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     516 services.exe         0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     516 services.exe         0x74c60000 True   True   True  \Windows\System32\authz.dll
     516 services.exe         0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     516 services.exe         0x76460000 True   True   True  \Windows\System32\nsi.dll
     516 services.exe         0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     516 services.exe         0x74ab0000 True   True   True  \Windows\System32\mswsock.dll
     516 services.exe         0x76ad0000 True   True   True  \Windows\System32\user32.dll
     516 services.exe         0x77060000 True   True   True  \Windows\System32\lpk.dll
     516 services.exe         0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     516 services.exe         0x74eb0000 True   True   True  \Windows\System32\srvcli.dll
     516 services.exe         0x74f70000 True   True   True  \Windows\System32\apphelp.dll
     516 services.exe         0x74790000 True   True   True  \Windows\System32\credssp.dll
     516 services.exe         0x76da0000 True   True   True  \Windows\System32\imm32.dll
     516 services.exe         0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     516 services.exe         0x75070000 True   True   True  \Windows\System32\profapi.dll
     516 services.exe         0x75030000 True   True   True  \Windows\System32\winsta.dll
     516 services.exe         0x76340000 True   True   True  \Windows\System32\sechost.dll
     516 services.exe         0x76470000 True   True   True  \Windows\System32\kernel32.dll
     516 services.exe         0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     516 services.exe         0x74ee0000 True   True   True  \Windows\System32\scesrv.dll
     516 services.exe         0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     516 services.exe         0x74aa0000 True   True   True  \Windows\System32\wship6.dll
     516 services.exe         0x75370000 True   True   True  \Windows\System32\msctf.dll
     536 lsass.exe            0x747a0000 True   True   True  \Windows\System32\scecli.dll
     536 lsass.exe            0x00690000 True   False  True  \Windows\System32\lsass.exe
     536 lsass.exe            0x77070000 True   True   True  \Windows\System32\Wldap32.dll
     536 lsass.exe            0x76340000 True   True   True  \Windows\System32\sechost.dll
     536 lsass.exe            0x74630000 True   True   True  \Windows\System32\IPHLPAPI.DLL
     536 lsass.exe            0x73760000 True   True   True  \Windows\System32\wkscli.dll
     536 lsass.exe            0x74970000 True   True   True  \Windows\System32\dnsapi.dll
     536 lsass.exe            0x74ba0000 True   True   True  \Windows\System32\negoexts.dll
     536 lsass.exe            0x70810000 True   True   True  \Windows\System32\CertPolEng.dll
     536 lsass.exe            0x76a30000 True   True   True  \Windows\System32\usp10.dll
     536 lsass.exe            0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     536 lsass.exe            0x74c00000 True   True   True  \Windows\System32\bcrypt.dll
     536 lsass.exe            0x74940000 True   True   True  \Windows\System32\logoncli.dll
     536 lsass.exe            0x6d640000 True   True   True  \Windows\System32\psbase.dll
     536 lsass.exe            0x74c20000 True   True   True  \Windows\System32\ncrypt.dll
     536 lsass.exe            0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     536 lsass.exe            0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     536 lsass.exe            0x74a50000 True   True   True  \Windows\System32\msv1_0.dll
     536 lsass.exe            0x74c60000 True   True   True  \Windows\System32\authz.dll
     536 lsass.exe            0x74c80000 True   True   True  \Windows\System32\cngaudit.dll
     536 lsass.exe            0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     536 lsass.exe            0x74880000 True   True   True  \Windows\System32\efslsaext.dll
     536 lsass.exe            0x76460000 True   True   True  \Windows\System32\nsi.dll
     536 lsass.exe            0x74bc0000 True   True   True  \Windows\System32\netjoin.dll
     536 lsass.exe            0x746b0000 True   True   True  \Windows\System32\gpapi.dll
     536 lsass.exe            0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     536 lsass.exe            0x746d0000 True   True   True  \Windows\System32\userenv.dll
     536 lsass.exe            0x74ce0000 True   True   True  \Windows\System32\cryptdll.dll
     536 lsass.exe            0x77060000 True   True   True  \Windows\System32\lpk.dll
     536 lsass.exe            0x74af0000 True   True   True  \Windows\System32\cryptsp.dll
     536 lsass.exe            0x74900000 True   True   True  \Windows\System32\schannel.dll
     536 lsass.exe            0x74b10000 True   True   True  \Windows\System32\kerberos.dll
     536 lsass.exe            0x74f30000 True   True   True  \Windows\System32\secur32.dll
