Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x8483ba00 System                    4      0     88      568 ------      0 2023-07-21 20:30:08 UTC+0000                                 
0x85880020 smss.exe                280      4      2       30 ------      0 2023-07-21 20:30:08 UTC+0000                                 
0x87013d40 csrss.exe               368    348      9      429      0      0 2023-07-21 20:30:10 UTC+0000                                 
0x857a3030 wininit.exe             420    348      3       77      0      0 2023-07-21 20:30:10 UTC+0000                                 
0x86ee6770 csrss.exe               428    412     10      297      1      0 2023-07-21 20:30:10 UTC+0000                                 
0x87184d40 winlogon.exe            484    412      5      119      1      0 2023-07-21 20:30:10 UTC+0000                                 
0x87192030 services.exe            516    420     17      227      0      0 2023-07-21 20:30:10 UTC+0000                                 
0x87199030 lsass.exe               536    420      9      643      0      0 2023-07-21 20:30:10 UTC+0000                                 
0x87198030 lsm.exe                 544    420     11      149      0      0 2023-07-21 20:30:10 UTC+0000                                 
0x871df668 svchost.exe             660    516     13      367      0      0 2023-07-21 20:30:11 UTC+0000                                 
0x871cb638 VBoxService.ex          720    516     12      114      0      0 2023-07-21 20:30:11 UTC+0000                                 
0x871f99a8 svchost.exe             788    516     11      303      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x87210370 svchost.exe             852    516     21      488      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x87229d40 svchost.exe             908    516     21      439      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x8723bd40 svchost.exe             964    516     46     1246      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x8725bc88 svchost.exe            1100    516     20      478      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x87286030 svchost.exe            1236    516     23      518      0      0 2023-07-21 19:30:12 UTC+0000                                 
0x872da698 spoolsv.exe            1388    516     15      295      0      0 2023-07-21 19:30:13 UTC+0000                                 
0x872f0030 svchost.exe            1424    516     22      337      0      0 2023-07-21 19:30:13 UTC+0000                                 
0x8733d788 svchost.exe            1540    516     21      261      0      0 2023-07-21 19:30:13 UTC+0000                                 
0x86f36030 dwm.exe                 328    908      5      133      1      0 2023-07-21 19:30:20 UTC+0000                                 
0x873df468 explorer.exe            508    312     59     1423      1      0 2023-07-21 19:30:20 UTC+0000                                 
0x8743e398 taskhost.exe           1592    516     17      265      1      0 2023-07-21 19:30:20 UTC+0000                                 
0x87444a88 VBoxTray.exe           1824    508     16      216      1      0 2023-07-21 19:30:20 UTC+0000                                 
0x87290030 SearchIndexer.          204    516     15      776      0      0 2023-07-21 19:30:26 UTC+0000                                 
0x87419260 sppsvc.exe             1196    516      6      155      0      0 2023-07-21 19:32:13 UTC+0000                                 
0x87489d40 svchost.exe            1324    516      9      313      0      0 2023-07-21 19:32:14 UTC+0000                                 
0x84b3d5f8 svchost.exe            1860    516      6      100      0      0 2023-07-21 20:11:53 UTC+0000                                 
0x84c0c5e8 mmc.exe                2108    508      6      251      1      0 2023-07-21 20:27:21 UTC+0000                                 
0x84c1c508 iexplore.exe           1672    508     17      649      1      0 2023-07-21 20:28:12 UTC+0000                                 
0x84dc4d40 iexplore.exe           3444   1672     17      509      1      0 2023-07-21 20:28:12 UTC+0000                                 
0x84e41d40 audiodg.exe            3348    852      7      138      0      0 2023-07-21 20:28:16 UTC+0000                                 
0x8502b030 svchost.exe            3912    516      5       70      0      0 2023-07-21 20:32:16 UTC+0000                                 
0x8505b770 msiexec.exe            3376    516     10      385      0      0 2023-07-21 20:37:14 UTC+0000                                 
0x85140a58 msiexec.exe            3828   3376      0 --------      1      0 2023-07-21 20:37:18 UTC+0000   2023-07-21 20:37:44 UTC+0000  
0x853fda78 TrustedInstall         2568    516      6      189      0      0 2023-07-21 20:37:36 UTC+0000                                 
0x84ea9030 cmd.exe                2956    508      2       71      1      0 2023-07-21 20:38:10 UTC+0000                                 
0x85103030 conhost.exe            1580    428      3       90      1      0 2023-07-21 20:38:10 UTC+0000                                 
0x84a68030 python.exe             3360   2956      5      161      1      0 2023-07-21 20:38:23 UTC+0000                                 
0x8512e030 uplep.exe              3160   2748      0 --------      1      0 2023-07-21 20:52:50 UTC+0000   2023-07-21 20:52:56 UTC+0000  
0x84ecb030 WinMail.exe            4008    660     15      424      1      0 2023-07-21 20:52:50 UTC+0000                                 
0x8552b030 SearchProtocol         2880    204      8      280      0      0 2023-07-21 20:53:04 UTC+0000                                 
0x85134030 SearchFilterHo         2864    204      5       92      0      0 2023-07-21 20:53:04 UTC+0000                                 
0x873f79e8 DumpIt.exe              156    508      1       18      1      0 2023-07-21 20:53:11 UTC+0000                                 
0x8739d270 conhost.exe            2336    428      2       51      1      0 2023-07-21 20:53:11 UTC+0000                                 
