Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous
180solutions,39,15,11.41025641,0,220.7692308,1563,40.07692308,8610,220.7692308,0,642,3003,42,656,830,99,640,120,177,259,47,85,47,0.02921069,0.052827843,0.02921069,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,86,0
180solutions,37,15,10.13513514,0,214.9189189,1446,39.08108108,7952,214.9189189,0,626,2812,40,668,663,92,594,113,162,230,42,78,42,0.028846154,0.053571429,0.028846154,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0
180solutions,39,15,10.71794872,0,217.6410256,1552,39.79487179,8488,217.6410256,0,642,2967,42,656,777,99,634,120,177,259,47,85,47,0.029411765,0.053191489,0.029411765,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,86,0
180solutions,41,16,10.07317073,0,210.097561,1615,39.3902439,8614,210.097561,0,645,3006,44,670,754,103,643,126,181,267,46,86,46,0.027710843,0.051807229,0.027710843,3,3,18,1.0,4,0,4,4,8,6,10,0.088888889,0.0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,389,221,26,24,116,0,122,86,0
180solutions,40,16,9.85,0,208.55,1557,38.925,8342,208.55,0,642,2921,43,665,703,101,606,123,178,262,45,84,45,0.028125,0.0525,0.028125,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,86,0
180solutions,40,16,9.8,0,208.325,1557,38.925,8333,208.325,0,643,2915,43,665,697,101,606,123,178,262,45,84,45,0.028230866,0.052697616,0.028230866,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,86,0
180solutions,39,15,10.0,0,210.4871795,1522,39.02564103,8209,210.4871795,0,639,2882,42,660,692,100,598,119,176,257,44,82,44,0.02833226,0.05280103,0.02833226,3,3,18,1.0,7,0,7,7,11,9,13,0.152173913,0.0,0.152173913,0.152173913,0.239130435,0.195652174,0.282608696,138,389,221,26,24,116,0,121,86,0
180solutions,38,15,10.07894737,0,214.4736842,1493,39.28947368,8150,214.4736842,0,635,2857,41,679,683,98,598,116,176,252,44,81,44,0.029042904,0.053465347,0.029042904,3,3,18,1.0,4,0,4,4,8,6,10,0.095238095,0.0,0.095238095,0.095238095,0.19047619,0.142857143,0.238095238,138,389,221,26,24,116,0,119,86,0
180solutions,38,15,10.07894737,0,214.2631579,1493,39.28947368,8142,214.2631579,0,637,2854,41,679,683,98,598,116,176,252,44,81,44,0.029158383,0.053677932,0.029158383,3,3,18,1.0,3,0,3,3,7,5,9,0.073170732,0.0,0.073170732,0.073170732,0.170731707,0.12195122,0.219512195,138,389,221,26,24,116,0,119,86,0
180solutions,37,15,10.24324324,0,215.2162162,1446,39.08108108,7963,215.2162162,0,626,2815,40,668,669,92,594,113,162,230,42,78,42,0.028826356,0.05353466,0.028826356,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,86,0
180solutions,44,17,10.34090909,0,201.1363636,1647,37.43181818,8850,201.1363636,0,670,3073,47,702,844,108,649,120,180,262,52,95,52,0.030624264,0.055948174,0.030624264,3,3,18,1.0,3,0,3,3,7,5,9,0.063829787,0.0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,389,221,26,24,116,0,122,87,0
180solutions,42,17,9.0,0,194.0238095,1529,36.4047619,8149,194.0238095,0,654,2864,45,714,657,101,603,113,165,233,47,88,47,0.030401035,0.056921087,0.030401035,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,389,221,26,24,116,0,119,87,0
180solutions,46,18,9.5,0,193.7608696,1699,36.93478261,8913,193.7608696,0,673,3103,49,716,804,112,652,126,184,270,51,96,51,0.02915952,0.054888508,0.02915952,3,3,18,1.0,3,0,3,3,7,5,9,0.06122449,0.0,0.06122449,0.06122449,0.142857143,0.102040816,0.183673469,138,389,221,26,24,116,0,122,87,0
180solutions,46,18,8.913043478,0,190.8913043,1690,36.73913043,8781,190.8913043,0,673,3050,49,716,734,112,649,126,184,270,50,95,50,0.0287687,0.054660529,0.0287687,3,3,18,1.0,3,0,3,3,7,5,9,0.06122449,0.0,0.06122449,0.06122449,0.142857143,0.102040816,0.183673469,138,389,221,26,24,116,0,122,87,0
180solutions,45,18,8.911111111,0,190.2444444,1641,36.46666667,8561,190.2444444,0,670,2981,48,711,708,110,615,123,181,265,50,94,50,0.029673591,0.05578635,0.029673591,3,3,18,1.0,4,0,4,4,8,6,10,0.081632653,0.0,0.081632653,0.081632653,0.163265306,0.12244898,0.204081633,138,389,221,26,24,116,0,122,87,0
180solutions,44,17,9.0,0,191.6818182,1604,36.45454545,8434,191.6818182,0,668,2945,47,706,700,109,607,119,179,259,49,92,49,0.029896278,0.056131788,0.029896278,3,3,18,1.0,5,0,5,5,9,7,11,0.102040816,0.0,0.102040816,0.102040816,0.183673469,0.142857143,0.224489796,138,389,221,26,24,116,0,121,87,0
180solutions,43,17,9.093023256,0,193.3023256,1567,36.44186047,8312,193.3023256,0,662,2905,46,702,692,107,601,116,178,252,49,91,49,0.03079824,0.057196732,0.03079824,3,3,18,1.0,6,0,6,6,10,8,12,0.12244898,0.0,0.12244898,0.12244898,0.204081633,0.163265306,0.244897959,138,389,221,26,24,116,0,119,87,0
